"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Ollie Gordon II","MIA","RB83","49.4","203.5","1.2","3.9","27.7","0.1","0.2","32.8"
"Colbie Young","CIN","WR126","0.0","0.0","0.0","14.1","176.3","1.3","0.1","32.4"
"Jeremy Ruckert","NYJ","TE63","0.0","0.0","0.0","19.7","146.2","1.3","0.0","32.0"
"Trayveon Williams","DET","RB84","32.0","138.0","1.0","9.0","77.0","0.0","0.0","32.0"
"Ray Davis","BUF","RB85","32.3","137.9","1.1","7.8","60.0","0.4","0.2","32.0"
"Bryce Lance","NO","WR127","0.0","0.0","0.0","15.1","193.2","0.9","0.2","31.9"
"DJ Giddens","IND","RB86","33.3","140.5","1.0","8.4","58.3","0.3","0.2","31.6"
"Sean Tucker","TB","RB87","39.3","163.6","2.2","1.5","10.2","0.0","0.1","31.4"
"Jake Tonges","SF","TE64","0.0","0.0","0.0","15.8","156.8","1.3","0.0","31.0"
"Nate Boerkircher","JAC","TE65","0.0","0.0","0.0","14.9","156.8","1.3","0.5","29.8"
"Jaylin Lane","WAS","WR128","0.0","0.0","0.0","12.4","159.5","1.1","0.1","28.4"
"Elijah Sarratt","BAL","WR129","0.0","0.0","0.0","11.1","165.8","1.0","0.1","28.0"
"Brashard Smith","KC","RB88","25.0","89.5","0.5","10.5","71.0","0.5","0.0","27.3"
"Nick Vannett","SEA","TE66","0.0","0.0","0.0","10.0","95.0","2.0","0.0","26.5"
"Drew Sample","CIN","TE67","0.0","0.0","0.0","15.2","123.2","1.1","0.1","26.3"
"Nate Adkins","DEN","TE68","0.0","0.0","0.0","11.9","88.4","1.8","0.0","25.8"
"Isaiah Bond","CLE","WR130","4.3","23.6","0.1","10.0","132.5","0.8","0.1","25.7"
"Jordan Whittington","LAR","WR131","2.3","12.1","0.1","11.3","128.2","0.9","0.1","25.6"
"Cade Stover","HOU","TE69","0.0","0.0","0.0","15.2","127.7","0.9","0.1","25.5"
"Jackson Hawes","BUF","TE70","0.0","0.0","0.0","10.5","115.1","1.4","0.0","25.4"
"Ben Sinnott","WAS","TE71","0.0","0.0","0.0","11.1","114.4","1.4","0.0","25.3"
"Olamide Zaccheaus","ATL","WR132","0.0","0.0","0.0","14.3","142.3","0.6","0.2","24.8"
"Zack Kuntz","DAL","TE72","0.0","0.0","0.0","12.0","128.0","1.0","0.0","24.8"
"Jack Endries","CIN","TE73","0.0","0.0","0.0","13.0","123.0","1.0","0.0","24.8"
"Kevin Coleman Jr.","MIA","WR133","0.0","0.0","0.0","12.8","161.0","0.4","0.1","24.7"
"Luke Schoonmaker","DAL","TE74","0.0","0.0","0.0","13.2","121.5","1.0","0.0","24.4"
"Konata Mumpfield","LAR","WR134","0.0","0.0","0.0","9.9","126.7","1.1","0.1","24.2"
"Will Mallory","IND","TE75","0.0","0.0","0.0","11.0","125.0","1.0","0.0","24.0"
"Jam Miller","NE","RB89","34.0","145.0","1.0","2.0","25.0","0.0","0.0","24.0"
"Skyler Bell","BUF","WR135","0.0","0.0","0.0","10.1","136.5","0.8","0.1","23.3"
"Grant Calcaterra","PHI","TE76","0.0","0.0","0.0","11.0","115.0","1.0","0.0","23.0"
"Salvon Ahmed","CHI","RB90","35.0","153.0","1.0","1.0","12.0","0.0","0.0","23.0"
"Roman Wilson","PIT","WR136","0.0","0.0","0.0","11.8","135.1","0.6","0.1","22.9"
"Teagan Quitoriano","ARI","TE77","0.0","0.0","0.0","12.0","109.0","1.0","0.0","22.9"
"Foster Moreau","HOU","TE78","0.0","0.0","0.0","9.3","105.4","1.3","0.0","22.9"
"Bauer Sharp","TB","TE79","0.0","0.0","0.0","11.0","113.0","1.0","0.0","22.8"
"Tanner Hudson","CIN","TE80","0.0","0.0","0.0","13.1","110.3","0.9","0.1","22.8"
"Jarquez Hunter","MIA","RB91","33.0","148.0","1.0","1.0","14.0","0.0","0.0","22.7"
"Brenen Thompson","LAC","WR137","2.1","11.3","0.1","9.5","121.7","0.7","0.1","22.7"
"Cam Grandy","CIN","TE81","0.0","0.0","0.0","13.0","100.0","1.0","0.0","22.5"
"Dallen Bentley","DEN","TE82","0.0","0.0","0.0","12.0","105.0","1.0","0.0","22.5"
"Israel Abanikanda","DAL","RB92","32.0","146.0","1.0","1.0","14.0","0.0","0.0","22.5"
"Tanner Conner","NYG","TE83","0.0","0.0","0.0","10.0","113.0","1.0","0.0","22.3"
"Dameon Pierce","PHI","RB93","35.0","161.0","1.0","0.0","0.0","0.0","0.0","22.1"
"Audric Estime","NO","RB94","30.0","122.0","1.0","3.0","24.0","0.0","0.0","22.1"
"Mo Alie-Cox","IND","TE84","0.0","0.0","0.0","10.7","113.9","0.9","0.1","22.1"
"Will Shipley","PHI","RB95","9.3","39.6","0.3","11.3","83.5","0.4","0.1","21.9"
"Donovan Edwards","MIA","RB96","31.0","130.0","1.0","2.0","19.0","0.0","0.0","21.9"
"Carlos Washington Jr.","MIA","RB97","31.0","130.0","1.0","2.0","19.0","0.0","0.0","21.9"
"Charlie Woerner","ATL","TE85","0.0","0.0","0.0","13.5","114.4","0.6","0.0","21.7"
"Seth McGowan","IND","RB98","22.3","96.4","1.2","3.1","27.3","0.1","0.0","21.6"
"Kendre Miller","NO","RB99","29.4","119.9","1.3","1.8","10.9","0.0","0.0","21.5"
"Isaiah Williams","NYJ","WR138","2.2","12.7","0.1","11.8","114.2","0.4","0.1","21.5"
"Thomas Fidone II","NYG","TE86","0.0","0.0","0.0","10.0","101.0","1.0","0.0","21.1"
"Jaheim Bell","PIT","TE87","0.0","0.0","0.0","10.0","98.0","1.0","0.0","20.8"
"Hunter Luepke","DAL","RB100","13.4","56.5","0.4","8.6","61.6","0.4","0.1","20.7"
"Drake Dabney","GB","TE88","0.0","0.0","0.0","10.0","95.0","1.0","0.0","20.5"
"Kaytron Allen","WAS","RB101","23.6","110.9","0.7","3.0","25.7","0.1","0.0","20.0"
"Connor Heyward","LV","TE89","4.2","17.4","0.1","9.0","65.5","1.1","0.0","20.0"
"Odell Beckham Jr.","NYG","WR139","0.0","0.0","0.0","9.2","113.2","0.6","0.1","19.4"
"Durham Smythe","BAL","TE90","0.0","0.0","0.0","9.8","94.0","0.7","0.1","18.6"
"Demond Claiborne","MIN","RB102","21.6","96.1","0.7","3.3","25.2","0.1","0.0","18.4"
"Tahj Brooks","CIN","RB103","30.3","128.4","0.9","0.0","0.0","0.0","0.1","18.2"
"Tez Johnson","TB","WR140","4.4","23.2","0.2","6.7","77.5","0.6","0.1","18.0"
"Devin Neal","NO","RB104","23.0","90.0","1.0","2.5","17.5","0.0","0.0","18.0"
"Jimmy Horn Jr.","CAR","WR141","6.2","36.7","0.2","6.7","75.6","0.4","0.1","17.8"
"Nicholas Singleton","TEN","RB105","20.3","83.7","0.6","4.3","30.2","0.2","0.1","17.6"
"Mitchell Evans","CAR","TE91","0.0","0.0","0.0","8.0","71.5","1.0","0.0","17.2"
"Joe Royer","CLE","TE92","0.0","0.0","0.0","8.8","82.0","0.7","0.0","16.6"
"Max Klare","LAR","TE93","0.0","0.0","0.0","8.0","82.6","0.7","0.0","16.3"
"Phil Mafah","DAL","RB106","16.0","71.0","1.0","2.0","17.0","0.0","0.0","15.8"
"Jalen Royals","KC","WR142","0.0","0.0","0.0","6.8","78.3","0.6","0.1","14.9"
"Brevyn Spann-Ford","DAL","TE94","0.0","0.0","0.0","7.4","71.4","0.7","0.0","14.8"
"Tanner Koziol","JAC","TE95","0.0","0.0","0.0","7.0","73.8","0.6","0.0","14.7"
"Devin Culp","TB","TE96","0.0","0.0","0.0","5.5","59.0","1.0","0.0","14.7"
"KeAndre Lambert-Smith","LAC","WR143","0.0","0.0","0.0","6.4","80.6","0.6","0.1","14.6"
"Sam Roush","CHI","TE97","0.0","0.0","0.0","6.8","72.4","0.6","0.0","14.5"
"Payne Durham","TB","TE98","0.0","0.0","0.0","7.2","70.6","0.6","0.1","14.4"
"Nick Westbrook-Ikhine","IND","WR144","0.0","0.0","0.0","6.1","76.6","0.6","0.1","14.1"
"Oscar Delp","NO","TE99","0.0","0.0","0.0","7.8","74.1","0.5","0.1","14.1"
"Michael Burton","CLE","RB107","6.6","13.9","0.6","5.1","33.4","0.6","0.0","14.0"
"Isaac Guerendo","SF","RB108","16.5","80.0","0.5","2.0","18.5","0.0","0.0","13.9"
"Mason Tipton","NO","WR145","0.0","0.0","0.0","6.8","80.5","0.3","0.1","13.3"
"Josh Whyle","GB","TE100","0.0","0.0","0.0","6.8","59.5","0.7","0.0","13.3"
"Hunter Long","JAC","TE101","0.0","0.0","0.0","5.0","45.0","1.0","0.0","13.0"
"Dont'e Thornton Jr.","LV","WR146","0.0","0.0","0.0","6.0","83.0","0.3","0.1","13.0"
"Trevor Etienne","CAR","RB109","12.3","52.4","0.3","4.1","29.3","0.1","0.1","12.7"
"Andrew Beck","NYJ","TE102","0.5","4.0","0.0","4.6","31.7","1.1","0.0","12.5"
"Alec Ingold","LAC","RB110","2.1","8.6","0.1","7.9","58.7","0.2","0.1","12.4"
"Greg Dortch","DET","WR147","4.6","24.0","0.4","4.1","39.7","0.3","0.1","12.1"
"Chris Manhertz","NYG","TE103","0.0","0.0","0.0","5.4","50.6","0.6","0.0","11.1"
"Lucas Krull","DEN","TE104","0.0","0.0","0.0","6.0","44.5","0.5","0.0","10.5"
"Bo Melton","GB","WR148","4.5","25.9","0.1","2.9","37.4","0.3","0.1","10.0"
"Barion Brown","NO","WR149","0.0","0.0","0.0","4.6","57.3","0.3","0.1","9.5"
"Tyrell Shavers","BUF","WR150","0.0","0.0","0.0","4.0","52.1","0.3","0.0","8.9"
"Derius Davis","LAC","WR151","2.1","11.0","0.1","3.5","38.1","0.3","0.1","8.6"
"Adam Prentice","DEN","RB111","4.1","17.4","0.1","4.1","29.9","0.2","0.0","8.4"
"Malachi Corley","CLE","WR152","6.4","44.0","0.2","1.7","16.8","0.1","0.1","8.3"
"Mitch Tinsley","CIN","WR153","0.0","0.0","0.0","3.3","41.8","0.4","0.0","8.1"
"Xavier Smith","LAR","WR154","0.0","0.0","0.0","3.6","44.4","0.3","0.0","8.1"
"CJ Daniels","LAR","WR155","0.0","0.0","0.0","3.4","42.8","0.3","0.0","7.9"
"Efton Chism III","NE","WR156","0.0","0.0","0.0","3.5","42.7","0.3","0.0","7.7"
"Justin Joly","DEN","TE105","0.0","0.0","0.0","4.0","37.9","0.3","0.0","7.5"
"Max Bredeson","MIN","RB112","2.0","8.5","0.1","4.5","29.4","0.2","0.0","7.4"
"Luke Farrell","SF","TE106","0.0","0.0","0.0","4.0","38.3","0.3","0.0","7.3"
"CJ Dippre","NE","TE107","0.0","0.0","0.0","3.9","37.4","0.3","0.0","7.3"
"Ko Kieft","TB","TE108","0.0","0.0","0.0","3.7","36.1","0.3","0.0","7.2"
"Tyler Conklin","DET","TE109","0.0","0.0","0.0","3.7","37.9","0.3","0.0","7.1"
"Drew Ogletree","IND","TE110","0.0","0.0","0.0","3.6","36.3","0.3","0.0","7.0"
"Josh Cuevas","BAL","TE111","0.0","0.0","0.0","3.3","35.8","0.3","0.0","6.9"
"Justin Watson","HOU","WR157","0.0","0.0","0.0","3.1","41.3","0.2","0.0","6.9"
"Jonathan Mingo","DAL","WR158","0.0","0.0","0.0","2.9","40.6","0.3","0.0","6.9"
"Tai Felton","MIN","WR159","0.0","0.0","0.0","3.7","37.1","0.2","0.0","6.9"
"Eric Saubert","SEA","TE112","0.0","0.0","0.0","3.4","34.4","0.3","0.0","6.9"
"Darius Cooper","PHI","WR160","0.0","0.0","0.0","3.3","37.7","0.3","0.0","6.8"
"Tip Reiman","ARI","TE113","0.0","0.0","0.0","3.8","34.4","0.2","0.0","6.5"
"Johnny Mundt","PHI","TE114","0.0","0.0","0.0","3.5","35.4","0.2","0.0","6.5"
"Reggie Virgil","ARI","WR161","0.0","0.0","0.0","3.4","39.3","0.1","0.0","6.4"
"Ian Thomas","LV","TE115","0.0","0.0","0.0","3.8","36.0","0.2","0.0","6.4"
"Brycen Tremayne","CAR","WR162","0.0","0.0","0.0","3.3","36.1","0.2","0.0","6.2"
"Riley Nowakowski","PIT","TE116","0.0","0.0","0.0","4.3","29.2","0.2","0.0","6.0"
"Blake Whiteheart","CLE","TE117","0.0","0.0","0.0","3.6","31.7","0.2","0.0","5.9"
"Reggie Gilliam","NE","RB113","0.0","0.0","0.0","4.1","29.8","0.2","0.0","5.9"
"Patrick Ricard","NYG","RB114","0.0","0.0","0.0","3.9","26.8","0.1","0.0","5.4"
"Kaleb Johnson","PIT","RB115","8.6","35.9","0.2","0.0","0.0","0.0","0.0","4.9"
"Arian Smith","NYJ","WR163","4.4","23.7","0.2","0.0","0.0","0.0","0.0","3.5"
"Ben Skowronek","PIT","WR164","0.0","0.0","0.0","1.8","17.0","0.1","0.0","3.0"
"British Brooks","HOU","RB116","4.2","18.0","0.1","0.0","0.0","0.0","0.0","2.4"
"Kameron Johnson","TB","WR165","2.2","12.1","0.1","0.0","0.0","0.0","0.0","1.8"
"Kaden Wetjen","PIT","WR166","2.2","11.7","0.1","0.0","0.0","0.0","0.0","1.6"
"Jalen Reagor","MIA","WR167","0.0","0.0","0.0","0.7","9.0","0.0","0.0","1.4"
"Laquon Treadwell","IND","WR168","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"David Moore","CAR","WR169","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Braxton Berrios","NYG","WR170","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Devin Duvernay","ARI","WR171","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mason Kinsey","TEN","WR172","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ihmir Smith-Marsette","ARI","WR173","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Michael Bandy","DEN","WR174","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Skyy Moore","GB","WR175","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Britain Covey","PHI","WR176","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dareke Young","LV","WR177","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jacob Cowing","SF","WR178","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Charlie Jones","CIN","WR179","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jalen Brooks","ARI","WR180","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nikko Remigio","KC","WR181","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Anthony Gould","IND","WR182","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jeshaun Jones","MIN","WR183","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"LaJohntay Wester","BAL","WR184","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ke'Shawn Williams","CIN","WR185","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Myles Price","MIN","WR186","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Gage Larvadain","CLE","WR187","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Cameron","JAC","WR188","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Quintin Morris","JAC","TE118","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jack Stoll","CLE","TE119","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cole Turner","MIA","TE120","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jelani Woods","NYJ","TE121","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Julian Hill","NE","TE122","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Devin Singletary","NYG","RB117","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"DeeJay Dallas","JAC","RB118","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kene Nwangwu","NYJ","RB119","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyler Badie","DEN","RB120","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bam Knight","ARI","RB121","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trey Benson","ARI","RB122","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jacob Saylors","DET","RB123","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Zavier Scott","MIN","RB124","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Rasheen Ali","BAL","RB125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dylan Laube","LV","RB126","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Collier","LV","RB127","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Williams","TB","RB128","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
